851,328
858,322
859,318
859,316
863,312
866,307
870,303
873,299
876,294
880,290
883,286
887,282
890,277
894,273
897,269
900,265
904,261
907,257
911,253
914,249
918,245
921,242
925,238
928,234
931,230
934,227
938,223
942,220
945,216
948,213
952,209
955,206
958,203
964,197
968,193
972,190
976,186
979,183
982,180
986,177
989,174
992,170
996,168
999,164
1003,162
1006,159
1010,156
1013,153
1017,151
1020,148
1023,145
1027,143
1030,140
1034,138
1037,135
1041,132
1045,130
1048,128
1051,126
1055,123
1058,121
1061,118
1065,116
1069,113
1071,111
1075,109
1078,106
1082,105
1085,103
1089,101
1092,99
1095,96
1099,94
1102,92
1106,90
1109,89
1113,87
1116,85
1119,83
1123,82
1126,80
1129,78
1133,76
1136,75
1139,74
1143,73
1146,71
1149,70
1152,68
1156,67
1159,67
1162,64
1166,63
1169,61
1173,61
1177,60
1179,59
1183,58
1187,57
1190,56
1193,55
1196,54
1199,53
1203,53
1206,51
1209,51
1213,50
1216,50
1220,50
1223,49
1226,48
1230,48
1233,47
1236,47
1240,47
1243,46
1247,46
1250,46
1253,46
1256,45
1259,44
1263,44
1266,44
1270,44
1273,45
1276,45
1280,45
1283,45
1286,45
1290,45
1293,45
1296,45
1299,46
1301,46
1304,47
1309,47
1312,47
1316,47
1319,48
1323,49
1326,49
1329,50
1332,50
1335,51
1339,51
1342,54
1345,53
1348,54
1352,54
1355,55
1358,56
1361,57
1365,59
1368,59
1371,61
1375,62
1378,64
1381,64
1385,65
1388,67
1391,68
1395,68
1397,70
1401,71
1404,73
1408,75
1411,77
1414,78
1417,79
1420,81
1424,83
1427,86
1430,87
1434,87
1436,89
1440,91
1443,93
1447,94
1450,96
1453,98
1457,101
1460,102
1463,106
1465,108
1468,110
1470,113
1472,115
1477,116
1481,118
1485,120
1488,122
1492,125
1495,127
